content,label
cô cho thực hành rất nhiều .,2
Áo chất cứng,0
Hàng y hình,1
"Quần giống hình nhưng ko có phần chọn size, shop mặc định gửi cả 2 cái sz M, m ko mặc đc vì bị chật, lẽ ra nên có phần chọn size cho phù hợp",1
thầy rất dễ chịu .,2
Đắt,0
Chất lượng sản phẩm thì tuyệt vời nhưng shop phục vụ chưa tốt,2
"Áo đẹp hơn mong đợi, đường may cung rất đẹp",2
Mình sẽ ủng hộ shop,2
"Hàng đẹp, giá ổn, shop nhiệt tình, quà tặng dễ thương=>> ok 5*** luôn~",2
Hơn 80kg mặc vẫn rất thoải mái,1
Mặc toàn tụt xuống mông,0
Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn,2
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt,2
"Món quà tặng của shop rất tuyệt, thanks:-)",2
do việc có giáo viên khác vào dạy thế trong khoảng sau giữa kỳ nên đã xảy ra một số nhầm lẫn về bài học và cách thức tính điểm đồ án nên dẫn đến một số bạn bị điểm thấp .,0
thỉnh thoảng đi hơi trễ .,0
nếu cảm thấy muốn học em sẽ tự lên lớp .,1
giỏi .,2
"Dây kéo hơi rít xíu nhưng chắc do còn mới, màu áo rất đẹp",2
Len đẹp lắm shop ạ,2
Mùi đậm,0
Giao hàng nhanh,2
Chất lượng sản phẩm tạm được.giống hình,0
Thank shop,2
"Ngon lắm các bạn ah. 2 người ăn đủ no, bằng phần 250k của các hiệu gà rán khác, mà này là vị hàn quốc nên ăn ko ngán",2
Rất xinh lại còn đủ size,2
giáo trình toàn dùng c không dùng cplusplus nhiều dễ gây rối trong quá trình lập trình .,0
chất lượng nhưng fom không hợp với mình,2
Chủ hàng rất nhẹ nhàng và nhiệt tình,2
"thời gian học tập luôn thiếu sót , giảng viên chưa nhiệt tình giảng dạy .",0
nhiệt tình tâm huyết giảng dạy .,2
Nhưng vẫn 5 sao,2
"Giày đi ko chắc chân,lỏng lẻo",0
"Cũng tạm thôi, miếng rửa ko giữ đc nhiều bọt, nên cảm giác ko sạch cho lắm",1
"Cám chất lượng, hạn sử dụng tận năm 2020, giá rẻ bất ngờ như giá sỉ",2
"Vải đẹp, đường may ổn, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh",2
Thích lắm ạ,2
Vải rất đẹp và mát,2
giảng viên chỉ đọc lướt qua slide bài giảng rồi giao bài tập .,0
Áo đẹp so.với giá tiền Đóng gói sản phẩm rất đẹp và chắc chắn,2
Xấu thật,0
thêm tài liệu thực tế .,0
Lúc mở hàng nhận đc món quà nhỏ của shop thấy vui vui,2
"Cơ mà mặc lên cảm giác vải hơi mỏng so với mình nghĩ, nếp gấp cũng to hơn mình tưởng",1
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Và tư vấn nhuêtj tình,2
"Giao hàng hơi lâu,nhưng mình hoàn toàn hài lòng.Cảm ơn shop",2
thầy giảng còn hơi khó hiểu khó tiếp thu .,0
"Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, shop tận tình",2
Sản phẩm thì quá ok,2
truyền đạt nguồn kiến thức phong phú .,2
Chất lượng sản phẩm tuyệt vời chất vải và ren cực mềm và đẹp,2
"Mua mà nhờ ngta nhận dùm, nên chưa thấy cái đầm ra sao, haha Thời gian giao hàng rất nhanh",2
có tương tác tốt với sinh viên .,2
Rất hài lòng,2
"học trong phòng chất lượng cao hơn , phòng học hiện tại không có máy lạnh .",0
Rất đáng tiền.còn mua nhiều ạk,2
nên đầu tư nhiều hơn vào trang thiết bị .,0
hy vọng thầy giảng song ngữ để chúng em hiểu bài hơn ạ .,0
Tuyệt vời hơn khi mua trên shopee thì được freeship,2
Còn chất lượng thì chưa biết,1
Hàng k giống như hình lắm ak,0
hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,0
Giao hàng hơi muộn xíu nhưng.chất đẹp mong lần sau shop ship nhanh chú,2
hơi mỏng,0
"đề thi quá dài , rất nhiều phần xử lý giống nhau nhưng lại phân ra nhiều câu như vậy không có tính chất phân loại năng lực sinh viên , mà là một cuộc đua xem ai làm nhanh hơn .",0
làm bài tập và kiểm tra bài thường xuyên .,2
Sản phẩm các khớp nối ở chân đứng thì tớ cảm thấy chút ọp ẹp nhưng vẫn hãi lòng,2
màu đỏ chói quá :(,0
